disaster_name,disaster_type,start_date,end_date,adjusted_cost,unadjusted_cost,deaths,date category
Ohio Valley Tornadoes,Severe Storm,2013-11-17,2013-11-17,1461,1090,8,November 2013
Western/Plains Drought/Heat Wave,Drought,2013-03-01,2013-11-30,14179,10425,53,Spring-Fall 2013
Midwest/Southeast/Northeast Winter Storm,Winter Storm,2014-01-05,2014-01-08,2911,2172,16,January 2014
Plains Severe Weather,Severe Storm,2014-04-02,2014-04-03,1879,1424,0,April 2014
Central Severe Weather,Severe Storm,2014-04-12,2014-04-13,1211,918,0,April 2014
Midwest/Southeast/Northeast Tornadoes and Flooding,Severe Storm,2014-04-27,2014-05-01,2291,1736,33,April 2014
Center Severe Weather,Severe Storm,2014-05-10,2014-05-14,1117,853,0,May 2014
Rockies/Midwest/Eastern Severe Weather,Severe Storm,2014-05-18,2014-05-23,4864,3713,0,May 2014
Rockies/Central Plains Severe Weather,Severe Storm,2014-06-03,2014-06-05,2514,1919,2,June 2014
Michigan and Northeast Flooding,Flooding,2014-08-11,2014-08-13,1351,1031,2,August 2014
Rockies/Plains Severe Weather,Severe Storm,2014-09-29,2014-10-02,1834,1400,0,September 2014
Western Drought,Drought,2014-01-01,2014-12-31,5295,3951,0,2014
"Central and Eastern Winter storm, Cold Wave",Winter Storm,2015-02-14,2015-02-20,3939,2962,30,February 2015
Midwest/Ohio Valley Severe Weather,Severe Storm,2015-04-07,2015-04-09,2053,1555,2,April 2015
South/Southeast Severe Weather,Severe Storm,2015-04-18,2015-04-20,1694,1283,0,April 2015
South and Southeast Severe Weather,Severe Storm,2015-04-24,2015-04-25,1246,944,3,April 2015
Southern Plains Tornadoes,Severe Storm,2015-05-06,2015-05-10,1666,1272,4,May 2015
Texas and Oklahoma Flooding and Severe Weather,Flooding,2015-05-23,2015-05-26,3350,2500,31,May 2015
Central and Northeast Severe Weather,Severe Storm,2015-06-21,2015-06-25,1535,1172,1,June 2015
South Carolina and East Coast Flooding,Flooding,2015-10-01,2015-10-05,2617,1998,25,October 2015
Western and Alaskan Wildfires,Wildfire,2015-06-01,2015-11-30,3966,3028,12,Summer-Fall 2015
Texas Tornadoes and Midwest Flooding,Severe Storm,2015-12-26,2015-12-29,2589,1961,50,December 2015
Western Drought,Drought,2015-01-01,2015-12-31,5984,4466,0,2015
Southeast and Eastern Tornadoes,Severe Storm,2016-02-22,2016-02-24,1372,1040,10,February 2016
Texas and Louisiana Flooding,Flooding,2016-03-08,2016-03-12,3029,2294,5,March 2016
Southern Severe Weather,Severe Storm,2016-03-17,2016-03-18,1585,1210,1,March 2016
North Texas Hail Storm,Severe Storm,2016-03-23,2016-03-24,2704,2064,0,March 2016
North/Central Texas Hail Storm,Severe Storm,2016-04-10,2016-04-12,4583,3498,0,April 2016
Houston Flooding,Flooding,2016-04-17,2016-04-18,3532,2676,8,April 2016
South/Southeast Tornadoes,Severe Storm,2016-04-26,2016-05-02,3136,2394,6,April 2016
Plains Tornadoes and Central Severe Weather,Severe Storm,2016-05-08,2016-05-11,2235,1719,2,May 2016
Rockies/Central Tornadoes and Severe Weather,Severe Storm,2016-05-21,2016-05-26,1490,1146,0,May 2016
West Virginia Flooding and Ohio Valley Tornadoes,Flooding,2016-06-22,2016-06-24,1278,968,23,June 2016
Rockies and Northeast Severe Weather,Severe Storm,2016-07-28,2016-07-30,1905,1465,0,July 2016
Louisiana Flooding,Flooding,2016-08-12,2016-08-15,13200,10000,13,August 2016
Hurricane Matthew,Tropical Cyclone,2016-10-08,2016-10-12,12900,10000,49,October 2016
Western/Southeast Wildfires,Wildfire,2016-06-01,2016-12-31,3113,2395,21,Summer-Fall 2016
West/Northeast/Southeast Drought,Drought,2016-01-01,2016-12-31,4545,3443,0,2016
Southern Tornado Outbreak and Western Storms,Severe Storm,2017-01-20,2017-01-22,1425,1105,24,January 2017
California Flooding,Flooding,2017-02-08,2017-02-22,1935,1500,5,February 2017
Central/Southeast Tornado Outbreak,Severe Storm,2017-02-28,2017-03-01,2311,1806,6,March 2017
Midwest Tornado Outbreak,Severe Storm,2017-03-06,2017-03-08,2785,2176,2,March 2017
Southeast Freeze,Freeze,2017-03-14,2017-03-16,1290,1000,0,March 2017
South/Southeast Severe Weather,Severe Storm,2017-03-26,2017-03-28,3449,2695,0,March 2017
Southeast Severe Weather and Tornadoes,Severe Storm,2017-04-04,2017-04-06,1249,976,1,April 2017
South and Southeast Severe Weather,Severe Storm,2017-04-20,2017-04-22,1143,893,0,April 2017
Missouri and Arkansas Flooding and Central Severe Weather,Flooding,2017-04-25,2017-05-07,2140,1659,20,May 2017
Colorado Hail Storm and Central Severe Weather,Severe Storm,2017-05-08,2017-05-11,4288,3350,0,May 2017
North Central Severe Weather and Tornadoes,Severe Storm,2017-05-15,2017-05-18,1204,941,1,May 2017
Minnesota Hail Storm and Upper Midwest Severe Weather,Severe Storm,2017-06-09,2017-06-11,3008,2350,0,June 2017
Midwest Severe Weather,Severe Storm,2017-06-12,2017-06-16,1931,1509,0,June 2017
Midwest Severe Weather,Severe Storm,2017-06-27,2017-06-29,1824,1425,0,June 2017
Hurricane Harvey,Tropical Cyclone,2017-08-25,2017-08-31,158750,125000,89,August 2017
Hurricane Irma,Tropical Cyclone,2017-09-06,2017-09-12,63500,50000,97,September 2017
Hurricane Maria,Tropical Cyclone,2017-09-19,2017-09-21,114300,90000,2981,September 2017
"Western Wildfires, California Firestorm",Wildfire,2017-06-01,2017-12-31,23046,18005,54,Summer-Fall 2017
"North Dakota, South Dakota and Montana Drought",Drought,2017-03-01,2017-12-31,3225,2500,0,Spring-Fall 2017
Central and Eastern Winter Storm,Winter Storm,2018-01-03,2018-01-05,1314,1043,22,January 2018
Northeast Winter Storm,Winter Storm,2018-03-01,2018-03-03,2742,2194,9,March 2018
Southeastern Tornadoes and Severe Weather,Severe Storm,2018-03-18,2018-03-21,1815,1452,0,March 2018
Southern and Eastern Tornadoes and Severe Weather,Severe Storm,2018-04-13,2018-04-16,1647,1318,3,April 2018
Central and Northeast Severe Weather,Severe Storm,2018-05-01,2018-05-04,1737,1390,0,May 2018
Central and Eastern Severe Weather,Severe Storm,2018-05-13,2018-05-15,1712,1370,5,May 2018
Texas Hail Storm,Severe Storm,2018-06-06,2018-06-06,1612,1300,0,June 2018
Colorado Hail Storm,Severe Storm,2018-06-13,2018-06-13,1184,955,0,June 2018
Colorado Hail Storm,Severe Storm,2018-06-18,2018-06-19,2756,2223,0,June 2018
Central and Eastern Tornadoes and Severe Weather,Severe Storm,2018-07-19,2018-07-22,1965,1585,0,July 2018
